0,https://en.wikipedia.org/wiki/!,"In mathematics, it denotes the factorial operation.","Other uses include:","include"
1,https://en.wikipedia.org/wiki/!,"!","Other uses include:","include"
2,https://en.wikipedia.org/wiki/!,"at the beginning of an expression to denote logical negation.","Other uses include:","include"
3,https://en.wikipedia.org/wiki/!,"For example,!A means "the logical negation of A", also called "not A".","Other uses include:","include"
4,https://en.wikipedia.org/wiki/!,"This usage has spread to ordinary language (e.g.","Other uses include:","include"
5,https://en.wikipedia.org/wiki/!,""!clue" means no-clue or clueless).","Other uses include:","include"
6,https://en.wikipedia.org/wiki/!,"!","Other uses include:","include"
7,https://en.wikipedia.org/wiki/!,"to denote a click consonant.","Other uses include:","include"
8,https://en.wikipedia.org/wiki/!,"It is used at the end of imperative sentences even when not particularly emphatic: Ruf mich morgen an!","German uses the exclamation mark for several things that English conveys with other punctuation:", "use"
9,https://en.wikipedia.org/wiki/!,"A normal full stop, as in English, is fairly common but is considered substandard.","German uses the exclamation mark for several things that English conveys with other punctuation:", "use"
10,https://en.wikipedia.org/wiki/!,"A related use is on signs that express a command or interdiction: Betreten verboten!","German uses the exclamation mark for several things that English conveys with other punctuation:", "use"
11,https://en.wikipedia.org/wiki/!,"').","German uses the exclamation mark for several things that English conveys with other punctuation:", "use"
12,https://en.wikipedia.org/wiki/!,"The exclamation mark may also be used in the salutation line of a letter: Lieber Hans!","German uses the exclamation mark for several things that English conveys with other punctuation:", "use"
13,https://en.wikipedia.org/wiki/!,"(English: 'Dear Hans,').","German uses the exclamation mark for several things that English conveys with other punctuation:", "use"
14,https://en.wikipedia.org/wiki/!,"However, the use of a comma is equally correct and is more common.","German uses the exclamation mark for several things that English conveys with other punctuation:", "use"
15,https://en.wikipedia.org/wiki/!,"U+0021","Unicode and HTML", "is"
16,https://en.wikipedia.org/wiki/!,"!","Unicode and HTML", "is"
17,https://en.wikipedia.org/wiki/!,"EXCLAMATION MARK (HTML &#33;, &excl;[a])","Unicode and HTML", "is"
18,https://en.wikipedia.org/wiki/!,"U+00A1","Related forms are encoded:", "be encoded"
